value,confidence,x1,y1,x2,y2,x3,y3,x4,y4
ABC,0.9952084422111511,0.34517091512680054,0.166015625,0.4218880236148834,0.166015625,0.4218880236148834,0.185546875,0.34517091512680054,0.185546875
Park,0.9996869564056396,0.45396971702575684,0.1669921875,0.5488199591636658,0.1669921875,0.5488199591636658,0.18359375,0.45396971702575684,0.18359375
LTD,0.9995803236961365,0.5822964906692505,0.1660156100988388,0.6562238931655884,0.1660156100988388,0.6562238931655884,0.1855468600988388,0.5822964906692505,0.1855468600988388
Address,0.9993244409561157,0.38562172651290894,0.203125,0.5599788427352905,0.203125,0.5599788427352905,0.2216796875,0.38562172651290894,0.2216796875
1,0.999998927116394,0.59345543384552,0.19921875,0.6185628175735474,0.19921875,0.6185628175735474,0.224609375,0.59345543384552,0.224609375
Address,0.9866772890090942,0.38562172651290894,0.2392578125,0.5599788427352905,0.2392578125,0.5599788427352905,0.2578125,0.38562172651290894,0.2578125
2,0.9999951124191284,0.5948502421379089,0.2373046875,0.61577308177948,0.2373046875,0.61577308177948,0.259765625,0.5948502421379089,0.259765625
PARKING,0.6781845092773438,0.31029945611953735,0.3583984076976776,0.48465654253959656,0.3583984076976776,0.48465654253959656,0.3740234076976776,0.31029945611953735,0.3740234076976776
RECEIPT,0.9230075478553772,0.5181330442428589,0.3583984076976776,0.6924901604652405,0.3583984076976776,0.6924901604652405,0.3740234076976776,0.5181330442428589,0.3740234076976776
CAR,0.9999572038650513,0.05783039331436157,0.552734375,0.13454753160476685,0.552734375,0.13454753160476685,0.572265625,0.05783039331436157,0.572265625
PARK:,0.9998928308486938,0.16662922501564026,0.5546875,0.27961263060569763,0.5546875,0.27961263060569763,0.5703125,0.16662922501564026,0.5703125
DATE:,0.9969846606254578,0.059225261211395264,0.5947265625,0.17499837279319763,0.5947265625,0.17499837279319763,0.611328125,0.059225261211395264,0.611328125
FROM:,0.9819895029067993,0.06201496720314026,0.634765625,0.17499837279319763,0.634765625,0.17499837279319763,0.650390625,0.06201496720314026,0.650390625
TO:,0.999562680721283,0.05783039331436157,0.6708984375,0.12617838382720947,0.6708984375,0.12617838382720947,0.6904296875,0.05783039331436157,0.6904296875
CAR,0.9999635219573975,0.6590136885643005,0.552734375,0.735730767250061,0.552734375,0.735730767250061,0.572265625,0.6590136885643005,0.572265625
PARKING,0.9945467710494995,0.7678124904632568,0.5546875,0.9407747387886047,0.5546875,0.9407747387886047,0.5703125,0.7678124904632568,0.5703125
10:07:00,0.6209546327590942,0.6659879684448242,0.5947265625,0.8584781885147095,0.5947265625,0.8584781885147095,0.6103515625,0.6659879684448242,0.6103515625
AM,0.9997883439064026,0.8933496475219727,0.591796875,0.9477490186691284,0.591796875,0.9477490186691284,0.6123046875,0.8933496475219727,0.6123046875
09:06:44,0.9989533424377441,0.6645931005477905,0.6328125,0.8584781885147095,0.6328125,0.8584781885147095,0.6513671875,0.6645931005477905,0.6513671875
AM,0.9970922470092773,0.891954779624939,0.6318359375,0.9477490186691284,0.6318359375,0.9477490186691284,0.65234375,0.891954779624939,0.65234375
10:06:44,0.9947630763053894,0.6645931005477905,0.6728515625,0.8584781885147095,0.6728515625,0.8584781885147095,0.69140625,0.6645931005477905,0.69140625
AM,0.999772846698761,0.8933496475219727,0.671875,0.9477490186691284,0.671875,0.9477490186691284,0.6923828125,0.8933496475219727,0.6923828125
3/15/12,0.6469816565513611,0.45237159729003906,0.591926097869873,0.6237510442733765,0.589704155921936,0.6243455410003662,0.612175464630127,0.4529660642147064,0.614397406578064
3/15/12,0.5694373846054077,0.4553645849227905,0.6328125,0.6227474212646484,0.6328125,0.6227474212646484,0.65234375,0.4553645849227905,0.65234375
3/15/12,0.6863142251968384,0.45296603441238403,0.669782280921936,0.6243455410003662,0.672004222869873,0.623751163482666,0.694475531578064,0.45237159729003906,0.692253589630127
PAID,0.9946359992027283,0.060620129108428955,0.75390625,0.15826007723808289,0.75390625,0.15826007723808289,0.7705078125,0.060620129108428955,0.7705078125
V.A.T,0.9986300468444824,0.05783039331436157,0.79296875,0.1861572265625,0.79296875,0.1861572265625,0.8115234375,0.05783039331436157,0.8115234375
5.00,0.9998807907104492,0.8445296287536621,0.751953125,0.939379870891571,0.751953125,0.939379870891571,0.7724609375,0.8445296287536621,0.7724609375
0.50,0.999320387840271,0.8445295095443726,0.7919921875,0.9379849433898926,0.7919921875,0.9379849433898926,0.8115234375,0.8445295095443726,0.8115234375
