value,confidence,x1,y1,x2,y2,x3,y3,x4,y4
REPUBLIQUE,0.555095911026001,0.35546875,0.12292569875717163,0.484375,0.12292569875717163,0.484375,0.14617693424224854,0.35546875,0.14617693424224854
FRANÇAISE,0.9643914699554443,0.3544921576976776,0.14718785881996155,0.4736327826976776,0.14718785881996155,0.4736327826976776,0.1663953959941864,0.3544921576976776,0.1663953959941864
Larvr,0.41722702980041504,0.35546875,0.17549371719360352,0.3916015625,0.17549371719360352,0.3916015625,0.18560293316841125,0.35546875,0.18560293316841125
Apaht,0.36157578229904175,0.35546875,0.1896466314792633,0.392578125,0.1896466314792633,0.392578125,0.20278862118721008,0.35546875,0.20278862118721008
Fratenmle,0.3120051622390747,0.35546875,0.20278862118721008,0.408203125,0.20278862118721008,0.408203125,0.21593064069747925,0.35546875,0.21593064069747925
France,0.9995463490486145,0.5732421875,0.1360677182674408,0.6328125,0.1360677182674408,0.6328125,0.15628618001937866,0.5732421875,0.15628618001937866
.,0.8755368590354919,0.5654296875,0.1583080291748047,0.5654296875,0.17043909430503845,0.5546875,0.17043909430503845,0.5546875,0.1583080291748047
Travail,0.9560160636901855,0.5732421875,0.15325340628623962,0.6318359375,0.15325340628623962,0.6318359375,0.17043909430503845,0.5732421875,0.17043909430503845
Service,0.9515590667724609,0.2783203125,0.28366246819496155,0.4375,0.28366246819496155,0.4375,0.32207754254341125,0.2783203125,0.32207754254341125
indisponible,0.9250573515892029,0.4550781548023224,0.2806296944618225,0.724609375,0.2806296944618225,0.724609375,0.332186758518219,0.4550781548023224,0.332186758518219
Nous,0.6549240946769714,0.267578125,0.41407155990600586,0.32421875,0.41407155990600586,0.32421875,0.43530091643333435,0.267578125,0.43530091643333435
vous,0.9980442523956299,0.33203125,0.41912615299224854,0.3837890625,0.41912615299224854,0.3837890625,0.43631184101104736,0.33203125,0.43631184101104736
prions,0.9989288449287415,0.3916015625,0.4150824546813965,0.458984375,0.4150824546813965,0.458984375,0.4393446147441864,0.3916015625,0.4393446147441864
de,0.9998588562011719,0.4658203125,0.41306060552597046,0.4951171875,0.41306060552597046,0.4951171875,0.43631184101104736,0.4658203125,0.43631184101104736
nous,0.575846791267395,0.501953125,0.41912615299224854,0.5537109375,0.41912615299224854,0.5537109375,0.43530091643333435,0.501953125,0.43530091643333435
esnoxe,0.5330333113670349,0.6455078125,0.43428999185562134,0.5634765625,0.43428999185562134,0.5634765625,0.42114800214767456,0.6455078125,0.42114800214767456
pour,0.9996170997619629,0.6550140976905823,0.4167795479297638,0.7054124474525452,0.41945499181747437,0.7043610215187073,0.4406803846359253,0.6539626717567444,0.43800491094589233
ce,0.9996178150177002,0.7109375,0.4181152284145355,0.7373046875,0.4181152284145355,0.7373046875,0.43631184101104736,0.7109375,0.43631184101104736
désagrément,0.799042284488678,0.24241119623184204,0.4513566792011261,0.385858952999115,0.45360657572746277,0.38551849126815796,0.47686779499053955,0.242070734500885,0.4746178984642029
et,0.9999867677688599,0.392578125,0.45147567987442017,0.416015625,0.45147567987442017,0.416015625,0.47371599078178406,0.392578125,0.47371599078178406
vous,0.999976396560669,0.4208984375,0.4555193781852722,0.47265625,0.4555193781852722,0.47265625,0.47270506620407104,0.4208984375,0.47270506620407104
invitons,0.647791862487793,0.482421875,0.4534975290298462,0.564453125,0.4534975290298462,0.564453125,0.470683217048645,0.482421875,0.470683217048645
à,0.9999784231185913,0.572265625,0.44945386052131653,0.5869140625,0.44945386052131653,0.5869140625,0.47270506620407104,0.572265625,0.47270506620407104
vous,0.9939749836921692,0.5932846665382385,0.4542509913444519,0.6457691788673401,0.45677804946899414,0.6449965834617615,0.4739735424518585,0.5925120711326599,0.4714464843273163
connecter,0.9527215957641602,0.653263509273529,0.4545285999774933,0.7616233229637146,0.4534395635128021,0.7617848515510559,0.4706628918647766,0.6534250378608704,0.4717519283294678
erieurement,0.3959769904613495,0.421875,0.4909016788005829,0.58203125,0.4909016788005829,0.58203125,0.5070764422416687,0.421875,0.5070764422416687
Accéder,0.9916988611221313,0.330078125,0.5444806218147278,0.412109375,0.5444806218147278,0.412109375,0.5606553554534912,0.330078125,0.5606553554534912
à,0.9998651742935181,0.4189453125,0.5424587726593018,0.4345703125,0.5424587726593018,0.4345703125,0.5616663098335266,0.4189453125,0.5616663098335266
l'accueil,0.6812822222709656,0.44140625,0.5444806218147278,0.5205078125,0.5444806218147278,0.5205078125,0.5606553554534912,0.44140625,0.5606553554534912
France,0.9999707937240601,0.5302733778953552,0.544480562210083,0.5996093153953552,0.544480562210083,0.5996093153953552,0.5606552958488464,0.5302733778953552,0.5606552958488464
Travail,0.966223418712616,0.6083984375,0.5444806218147278,0.673828125,0.5444806218147278,0.673828125,0.5606553554534912,0.6083984375,0.5606553554534912
RETOUR,0.9985804557800293,0.4638671875,0.6597258448600769,0.5400390625,0.6597258448600769,0.5400390625,0.6759005784988403,0.4638671875,0.6759005784988403
2024,0.9919565916061401,0.2734375,0.802266001701355,0.32421875,0.802266001701355,0.32421875,0.8194516897201538,0.2734375,0.8194516897201538
FRANCE,0.9998589754104614,0.3330078125,0.8032768964767456,0.4248046875,0.8032768964767456,0.4248046875,0.8194516897201538,0.3330078125,0.8194516897201538
TRAVAIL.,0.8963000774383545,0.435546875,0.8032768964767456,0.53125,0.8032768964767456,0.53125,0.8194516897201538,0.435546875,0.8194516897201538
Tous,0.9999228715896606,0.5400390625,0.8032768964767456,0.587890625,0.8032768964767456,0.587890625,0.8204625844955444,0.5400390625,0.8204625844955444
droits,0.9979039430618286,0.595703125,0.8032768964767456,0.650390625,0.8032768964767456,0.650390625,0.8204625844955444,0.595703125,0.8204625844955444
réservés.,0.6787943840026855,0.6591796875,0.8032768964767456,0.751953125,0.8032768964767456,0.751953125,0.8194516897201538,0.6591796875,0.8194516897201538
